ages,avg_bpm,delta,curve_values,curve_delta
19,-1.86,,-1.931,
20,-1.28,0.58,-1.3,0.631
21,-0.54,0.74,-0.769,0.531
22,-0.15,0.39,-0.332,0.437
23,0.06,0.21,0.017,0.349
24,0.23,0.17,0.284,0.267
25,0.97,0.74,0.475,0.191
26,0.8,-0.17,0.596,0.121
27,0.9,0.1,0.653,0.057
28,0.93,0.03,0.652,-0.001
29,0.97,0.04,0.599,-0.053
30,0.78,-0.19,0.5,-0.099
31,0.57,-0.21,0.361,-0.139
32,0.41,-0.16,0.188,-0.173
33,0.74,0.33,-0.013,-0.201
34,0.29,-0.45,-0.236,-0.223
35,0.08,-0.21,-0.475,-0.239
36,-0.78,-0.86,-0.724,-0.249
37,0.86,1.64,-0.977,-0.253
38,-1.9,-2.76,-1.228,-0.251